Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
jawa tengah - pekalongan,6,0.91,10.57,32.41,0.00,26.91,7.58,0.41,73.74,19.50,80.39,122,
jawa tengah - pemalang,6,0.61,16.56,38.61,0.00,25.98,6.85,0.42,73.53,24.70,78.51,169,
jawa tengah - tegal,6,0.72,8.60,25.96,0.00,25.07,7.22,0.26,71.72,28.00,81.18,104,
jawa tengah - brebes,6,0.66,17.43,27.58,0.00,25.53,6.42,0.51,69.54,26.30,76.74,199,
jawa tengah - kota magelang,6,0.00,7.75,16.05,0.00,5.38,10.84,0.01,76.93,13.30,82.09,23,
jawa tengah - kota surakarta,6,0.00,9.40,8.10,0.00,12.78,11.23,0.01,77.32,20.40,80.27,33,
jawa tengah - kota salatiga,6,0.00,5.14,6.96,0.00,6.05,10.76,0.04,77.55,15.20,87.39,3,
jawa tengah - kota semarang,6,0.00,4.56,6.75,0.00,5.14,10.90,0.03,77.51,21.30,87.13,4,
jawa tengah - kota pekalongan,5,0.00,7.59,13.28,0.00,29.48,9.64,0.03,74.44,20.60,69.66,74,
jawa tengah - kota tegal,6,0.00,8.12,16.85,0.00,0.30,9.12,0.02,74.54,23.90,75.71,51,
di yogyakarta - kulon progo,6,0.66,18.38,20.99,0.00,20.11,9.01,0.38,75.27,14.90,82.82,74,
di yogyakarta - bantul,6,1.17,14.04,22.45,0.00,21.48,9.72,0.14,73.89,19.10,80.38,123,
di yogyakarta - gunungkidul,6,0.20,17.69,37.81,0.00,45.34,7.41,0.83,74.19,20.60,78.74,163,
di yogyakarta - sleman,6,1.46,8.64,10.40,0.00,21.38,10.99,0.07,74.92,16.00,83.16,70,
di yogyakarta - kota yogyakarta,6,0.00,7.69,7.40,0.00,19.98,11.89,0.01,74.76,17.10,79.28,38,
jawa timur - pacitan,6,0.51,15.11,37.23,0.31,38.59,7.52,1.08,72.07,22.70,77.73,183,
jawa timur - ponorogo,6,0.26,10.26,25.08,0.00,16.77,7.62,0.47,72.85,20.00,86.20,19,
jawa timur - trenggalek,6,0.47,12.14,32.96,0.00,39.95,7.70,0.69,73.86,18.10,80.68,116,
jawa timur - tulungagung,6,0.47,7.51,24.68,0.00,27.82,8.49,0.29,74.16,13.10,86.05,23,
